scene_id,dataset_version,building_id,condition,evaluation_status,absolute_iou,translation_aligned_iou,absolute_f1,translation_aligned_f1,bbox_dimension_mae,centroid_distance,diagnostic_aligned_iou_10,material_aware_iou,exact_position_material_f1,material_set_precision,material_set_recall,material_set_f1,material_histogram_similarity,dominant_material_accuracy,add_count,delete_count,replace_count,normalized_add_cost,normalized_delete_cost,normalized_replace_cost,total_normalized_repair_cost,alignment_shift_magnitude,alignment_shift_x,alignment_shift_y,alignment_shift_z,bbox_depth_error,bbox_height_error,bbox_width_error,description_model,empty_build,executor_status,failure_as_zero,overlap_position_material_agreement,representation,unsupported_command_rate
v1:building_015,v1,building_015,direct_image_to_build,success,0.07058426207362378,0.3153526970954357,0.13186119873817034,0.4794952681388012,4.333333333333333,10.459353697784158,0.3153526970954357,0.0,0.0,0.6,0.42857142857142855,0.5,0.19335083114610674,0,383,1267,710,0.3350831146106737,1.1084864391951006,0.621172353455818,2.0647419072615922,,,,,,,,,,,,,,
v1:building_024,v1,building_024,direct_image_to_build,success,0.06070970500213767,0.3483695652173913,0.11446997178557035,0.516727126158807,2.0,9.403241000766345,0.3483695652173913,0.007308160779537149,0.014510278113663845,0.7777777777777778,0.875,0.823529411764706,0.5977737921464152,0,494,705,598,0.4352422907488987,0.6211453744493393,0.5268722466960353,1.5832599118942732,,,,,,,,,,,,,,
v1:building_032,v1,building_032,direct_image_to_build,success,0.0861127956337174,0.39540319439033894,0.15857063093243998,0.5667225013958683,3.0,10.395406762133202,0.39540319439033894,0.0036424768842813113,0.0072585147962032385,0.7,0.875,0.7777777777777777,0.5336995108762181,1,152,1400,491,0.13024850042844902,1.1996572407883461,0.4207369323050557,1.750642673521851,,,,,,,,,,,,,,
v1:building_060,v1,building_060,direct_image_to_build,success,0.06824925816023739,0.34831460674157305,0.12777777777777777,0.5166666666666666,4.333333333333333,10.396437706991929,0.34831460674157305,0.0,0.0,0.8333333333333334,0.625,0.7142857142857143,0.23194574771417822,0,399,993,692,0.34908136482939633,0.868766404199475,0.605424321959755,1.8232720909886264,,,,,,,,,,,,,,
v1:building_063,v1,building_063,direct_image_to_build,success,0.04733994589720469,0.3358251868890167,0.09040034438226431,0.5027981058975463,3.0,10.166303116030072,0.3358251868890167,0.0,0.0,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.3440181206162789,0,559,596,582,0.4890638670166229,0.5214348206474191,0.5091863517060368,1.5196850393700787,,,,,,,,,,,,,,
v1:building_073,v1,building_073,direct_image_to_build,success,0.07592534008225245,0.22294138798993168,0.1411349603057924,0.3645986474566304,5.333333333333333,9.782598327136313,0.22294138798993168,0.002948982601002654,0.005880623346074684,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.4048041986906113,0,499,1662,472,0.4459338695263628,1.4852546916890081,0.42180518319928506,2.352993744414656,,,,,,,,,,,,,,
v1:building_085,v1,building_085,direct_image_to_build,success,0.04756871035940803,0.3397926994141505,0.09081735620585267,0.5072317524386143,4.333333333333333,11.387600442462457,0.3397926994141505,0.013292433537832311,0.026236125126135216,0.5,0.2857142857142857,0.36363636363636365,0.41930022573363435,1,447,1018,551,0.37218984179850123,0.8476269775187344,0.4587843463780183,1.678601165695254,,,,,,,,,,,,,,
v1:building_098,v1,building_098,direct_image_to_build,success,0.0718954248366013,0.3680078508341511,0.13414634146341464,0.5380200860832136,1.0,9.463264435693736,0.3680078508341511,0.022743947175348497,0.04447632711621234,0.7777777777777778,0.875,0.823529411764706,0.3643579017316391,0,465,823,620,0.38271604938271603,0.6773662551440329,0.5102880658436214,1.5703703703703704,,,,,,,,,,,,,,
v1:building_000,v1,building_000,direct_image_to_build,success,0.06952034001214329,0.2933186490455213,0.13000283848992333,0.4535906897530514,4.0,11.32817029041082,0.2933186490455213,0.002846569883290635,0.005676979846721544,0.8571428571428571,0.75,0.7999999999999999,0.4075445726271631,0,817,1108,613,0.505569306930693,0.6856435643564357,0.37933168316831684,1.5705445544554455,,,,,,,,,,,,,,
v1:building_001,v1,building_001,direct_image_to_build,success,0.08746223564954683,0.27415929203539824,0.1608556743992221,0.43033754688151127,6.333333333333333,10.792035404831415,0.27415929203539824,0.037319884726224786,0.07195443811640506,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.6415925526316324,1,286,3815,974,0.155858310626703,2.0790190735694822,0.5307901907356948,2.76566757493188,,,,,,,,,,,,,,
v1:building_017,v1,building_017,direct_image_to_build,success,0.08459869848156182,0.287001287001287,0.156,0.446,4.333333333333333,9.364885206067145,0.287001287001287,0.02748522989982019,0.0535,0.5,0.42857142857142855,0.4615384615384615,0.4017101073239769,0,328,1888,721,0.26885245901639343,1.5475409836065575,0.590983606557377,2.4073770491803277,,,,,,,,,,,,,,
v1:building_020,v1,building_020,direct_image_to_build,success,0.08321870701513068,0.3081395348837209,0.15365079365079365,0.47111111111111115,2.6666666666666665,9.930623021849396,0.3081395348837209,0.00031756113051762465,0.0006349206349206349,0.7142857142857143,0.625,0.6666666666666666,0.5374082977160507,0,627,1039,491,0.4579985390796202,0.7589481373265157,0.35865595325054783,1.5756026296566836,,,,,,,,,,,,,,
v1:building_022,v1,building_022,direct_image_to_build,success,0.0859471912103491,0.3368237347294939,0.15828981723237595,0.503916449086162,4.333333333333333,10.826763856413356,0.3368237347294939,0.006074536200952225,0.012075718015665796,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7287173666288308,1,179,2861,916,0.10388856645385955,1.660475914103308,0.5316308763784098,2.2959953569355775,,,,,,,,,,,,,,
v1:building_055,v1,building_055,direct_image_to_build,success,0.07295081967213114,0.39601848560255953,0.13598166539343012,0.5673542144130379,1.3333333333333333,10.937434247158963,0.39601848560255953,0.03587443946188341,0.06926406926406926,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8183093257262942,1,597,1102,407,0.3489187609585038,0.6440677966101694,0.23787258912916423,1.2308591466978376,,,,,,,,,,,,,,
v1:building_062,v1,building_062,direct_image_to_build,success,0.07773279352226721,0.33188792528352234,0.14425244177310292,0.4983721512647132,1.3333333333333333,10.723984222789088,0.33188792528352234,0.0,0.0,0.875,0.875,0.875,0.4143906277414459,0,516,1487,866,0.3414956982131039,0.9841164791528789,0.5731303772336201,1.8987425545996028,,,,,,,,,,,,,,
